,Year,Pos,Age,height,weight,TS%,G,Tm
125,1950.0,PG,25.0,190.0,78.0,0.38299999999999995,58.0,TOT
126,1950.0,PG,25.0,190.0,78.0,0.368,26.0,AND
127,1950.0,PG,25.0,190.0,78.0,0.39,32.0,TRI
128,1950.0,F-G,26.0,188.0,77.0,0.379,66.0,FTW
129,1950.0,G,24.0,190.0,79.0,0.46399999999999997,52.0,TOT
130,1950.0,G,24.0,190.0,79.0,0.44799999999999995,33.0,DNN
131,1950.0,G,24.0,190.0,79.0,0.506,19.0,FTW
132,1950.0,C,28.0,201.0,97.0,0.0,1.0,BLB
133,1950.0,F-C,29.0,201.0,96.0,0.326,64.0,AND
134,1950.0,G,22.0,180.0,72.0,0.395,62.0,WAT
135,1950.0,G-F,24.0,188.0,87.0,0.36700000000000005,65.0,CHS
136,1950.0,G-F,27.0,188.0,83.0,0.33399999999999996,55.0,SHE
137,1950.0,F,23.0,190.0,83.0,0.47100000000000003,56.0,BOS
138,1950.0,F-G,22.0,190.0,83.0,0.442,64.0,BOS
139,1950.0,F-G,29.0,188.0,86.0,0.365,60.0,SYR
140,1950.0,F-G,29.0,188.0,88.0,0.295,34.0,TOT
141,1950.0,F-G,29.0,188.0,88.0,0.266,18.0,BLB
142,1950.0,F-G,29.0,188.0,88.0,0.33899999999999997,16.0,PHW
143,1950.0,C,24.0,208.0,99.0,0.341,54.0,TOT
144,1950.0,C,24.0,208.0,99.0,0.348,16.0,BLB
145,1950.0,C,24.0,208.0,99.0,0.33899999999999997,38.0,PHW
146,1950.0,G,29.0,188.0,79.0,0.419,62.0,STB
147,1950.0,G,26.0,185.0,80.0,0.405,58.0,NYK
148,1950.0,C-F,21.0,203.0,83.0,0.485,67.0,STB
149,1950.0,G-F,27.0,183.0,81.0,0.405,59.0,SYR
150,1950.0,C,27.0,203.0,99.0,0.313,62.0,TOT
151,1950.0,C,27.0,203.0,99.0,0.376,2.0,FTW
152,1950.0,C,27.0,203.0,99.0,0.316,36.0,TRI
153,1950.0,C,27.0,203.0,99.0,0.302,24.0,BOS
154,1950.0,F-C,30.0,193.0,92.0,0.37,25.0,TOT
155,1950.0,F-C,30.0,193.0,92.0,0.396,22.0,WSC
156,1950.0,F-C,30.0,193.0,92.0,0.184,3.0,BLB
157,1950.0,PG,24.0,178.0,77.0,0.395,67.0,MNL
158,1950.0,F,26.0,193.0,86.0,0.359,68.0,STB
159,1950.0,F,26.0,190.0,95.0,0.37799999999999995,26.0,SHE
160,1950.0,G,27.0,180.0,81.0,0.262,8.0,TOT
161,1950.0,G,27.0,180.0,81.0,0.316,3.0,BLB
162,1950.0,G,27.0,180.0,81.0,0.23,5.0,STB
163,1950.0,PG,24.0,183.0,81.0,0.41700000000000004,68.0,NYK
164,1950.0,SF,31.0,198.0,83.0,0.35200000000000004,53.0,WSC
165,1950.0,F-C,22.0,196.0,95.0,0.365,58.0,INO
166,1950.0,PF,27.0,196.0,88.0,0.47,62.0,WAT
167,1950.0,G,27.0,183.0,76.0,0.365,6.0,WAT
168,1950.0,C-F,25.0,196.0,95.0,0.445,68.0,CHS
169,1950.0,C,24.0,203.0,104.0,0.361,65.0,TOT
170,1950.0,C,24.0,203.0,104.0,0.35100000000000003,21.0,CHS
171,1950.0,C,24.0,203.0,104.0,0.368,44.0,ROC
172,1950.0,C,25.0,208.0,111.0,0.48700000000000004,68.0,MNL
173,1950.0,PF,21.0,201.0,104.0,0.466,68.0,MNL
174,1950.0,C,21.0,201.0,95.0,0.446,8.0,WAT
175,1950.0,C,26.0,201.0,95.0,0.33299999999999996,2.0,AND
176,1950.0,F-C,28.0,193.0,86.0,0.496,64.0,PHW
177,1950.0,F-C,24.0,188.0,88.0,0.445,62.0,SHE
178,1950.0,G,24.0,183.0,74.0,0.196,37.0,BOS
179,1950.0,G,21.0,183.0,86.0,0.218,14.0,FTW
180,1950.0,PF,23.0,201.0,100.0,0.44,67.0,TOT
181,1950.0,PF,23.0,201.0,100.0,0.434,49.0,WSC
182,1950.0,PF,23.0,201.0,100.0,0.456,18.0,TRI
183,1950.0,G-F,28.0,185.0,74.0,0.39399999999999996,60.0,TOT
184,1950.0,G-F,28.0,185.0,74.0,0.364,31.0,FTW
185,1950.0,G-F,28.0,185.0,74.0,0.436,29.0,AND
186,1950.0,F,25.0,193.0,83.0,0.37799999999999995,65.0,NYK
187,1950.0,C,22.0,203.0,95.0,0.19,5.0,PHW
188,1950.0,F,28.0,190.0,81.0,0.38,40.0,WSC
189,1950.0,C-F,26.0,203.0,88.0,0.355,55.0,TOT
190,1950.0,C-F,26.0,203.0,88.0,0.37,18.0,BOS
191,1950.0,C-F,26.0,203.0,88.0,0.49200000000000005,1.0,TRI
192,1950.0,C-F,26.0,203.0,88.0,0.32799999999999996,36.0,CHS
193,1950.0,C-F,34.0,206.0,99.0,0.292,60.0,TOT
194,1950.0,C-F,34.0,206.0,99.0,0.131,5.0,ROC
195,1950.0,C-F,34.0,206.0,99.0,0.303,55.0,PHW
196,1950.0,G,21.0,183.0,78.0,0.29,61.0,TOT
197,1950.0,G,21.0,183.0,78.0,0.294,37.0,BOS
198,1950.0,G,21.0,183.0,78.0,0.281,24.0,STB
199,1950.0,G,24.0,185.0,81.0,0.38799999999999996,25.0,BLB
200,1950.0,G-F,26.0,188.0,83.0,0.38299999999999995,68.0,WSC
201,1950.0,G,26.0,190.0,79.0,0.364,59.0,FTW
202,1950.0,G,27.0,180.0,72.0,0.281,14.0,WAT
203,1950.0,F,22.0,190.0,88.0,0.37,34.0,TOT
204,1950.0,F,22.0,190.0,88.0,0.39899999999999997,21.0,STB
205,1950.0,F,22.0,190.0,88.0,0.35100000000000003,13.0,WAT
206,1950.0,C,28.0,208.0,108.0,0.484,64.0,TOT
207,1950.0,C,28.0,208.0,108.0,0.47200000000000003,46.0,TRI
208,1950.0,C,28.0,208.0,108.0,0.513,18.0,WSC
209,1950.0,F-C,24.0,201.0,99.0,0.37200000000000005,59.0,TOT
210,1950.0,F-C,24.0,201.0,99.0,0.446,12.0,TRI
211,1950.0,F-C,24.0,201.0,99.0,0.35,47.0,STB
212,1950.0,SG,24.0,190.0,83.0,0.361,61.0,TOT
213,1950.0,SG,24.0,190.0,83.0,0.38,26.0,TRI
214,1950.0,SG,24.0,190.0,83.0,0.342,35.0,AND
215,1950.0,F-G,28.0,190.0,90.0,0.36200000000000004,66.0,STB
216,1950.0,G,25.0,183.0,78.0,0.121,4.0,INO
217,1950.0,G,24.0,188.0,79.0,0.32299999999999995,9.0,PHW
218,1950.0,F-G,27.0,188.0,83.0,0.447,53.0,TOT
219,1950.0,F-G,27.0,188.0,83.0,0.486,34.0,WAT
220,1950.0,F-G,27.0,188.0,83.0,0.375,19.0,SHE
221,1950.0,SG,23.0,193.0,78.0,0.389,52.0,TOT
222,1950.0,SG,23.0,193.0,78.0,0.449,17.0,PHW
223,1950.0,SG,23.0,193.0,78.0,0.38299999999999995,35.0,WAT
224,1950.0,G-F,27.0,190.0,86.0,0.365,60.0,TRI
225,1950.0,C,25.0,206.0,99.0,0.47200000000000003,62.0,SYR
226,1950.0,F,24.0,196.0,88.0,0.36700000000000005,55.0,TOT
227,1950.0,F,24.0,196.0,88.0,0.38299999999999995,15.0,WAT
228,1950.0,F,24.0,196.0,88.0,0.36200000000000004,40.0,SHE
229,1950.0,G-F,27.0,188.0,88.0,0.406,65.0,CHS
230,1950.0,SF,27.0,193.0,83.0,0.39,66.0,MNL
231,1950.0,C,23.0,206.0,99.0,0.325,7.0,WAT
232,1950.0,C-F,26.0,201.0,86.0,0.377,56.0,BLB
233,1950.0,G,27.0,201.0,86.0,0.303,57.0,STB
234,1950.0,PF,27.0,198.0,99.0,0.452,62.0,SYR
235,1950.0,F-C,28.0,196.0,86.0,0.38799999999999996,61.0,TRI
236,1950.0,G-F,35.0,180.0,74.0,0.4,67.0,WSC
237,1950.0,C,25.0,206.0,90.0,0.423,62.0,ROC
238,1950.0,G-F,25.0,188.0,83.0,0.434,62.0,NYK
239,1950.0,C,24.0,206.0,95.0,0.38,67.0,STB
240,1950.0,C,26.0,206.0,83.0,0.47100000000000003,65.0,STB
241,1950.0,PG,26.0,183.0,76.0,0.385,66.0,CHS
242,1950.0,G,22.0,178.0,70.0,0.384,42.0,DNN
243,1950.0,G,26.0,178.0,74.0,0.371,4.0,PHW
244,1950.0,C,32.0,196.0,108.0,0.401,69.0,TOT
245,1950.0,C,32.0,196.0,108.0,0.392,17.0,PHW
246,1950.0,C,32.0,196.0,108.0,0.40299999999999997,52.0,BLB
247,1950.0,G,29.0,178.0,79.0,0.431,57.0,DNN
248,1950.0,SG,25.0,188.0,83.0,0.447,49.0,ROC
249,1950.0,G-F,31.0,183.0,79.0,0.46,65.0,MNL
250,1950.0,F,22.0,196.0,90.0,0.293,34.0,BLB
251,1950.0,F,24.0,196.0,92.0,0.426,68.0,FTW
252,1950.0,F-C,21.0,203.0,99.0,0.48,64.0,SYR
253,1950.0,C,27.0,201.0,104.0,0.498,62.0,SHE
254,1950.0,PF,27.0,198.0,90.0,0.348,67.0,TOT
255,1950.0,PF,27.0,198.0,90.0,0.366,35.0,AND
256,1950.0,PF,27.0,198.0,90.0,0.332,32.0,FTW
257,1950.0,F-G,33.0,188.0,87.0,0.401,50.0,TOT
258,1950.0,F-G,33.0,188.0,87.0,0.375,13.0,WSC
259,1950.0,F-G,33.0,188.0,87.0,0.37799999999999995,8.0,TRI
260,1950.0,F-G,33.0,188.0,87.0,0.42,29.0,SHE
261,1950.0,PG,27.0,178.0,81.0,0.415,66.0,WSC
262,1950.0,G,26.0,190.0,86.0,0.442,61.0,WAT
263,1950.0,G-F,23.0,190.0,88.0,0.32899999999999996,13.0,SHE
264,1950.0,G-F,26.0,178.0,74.0,0.375,34.0,AND
265,1950.0,G-F,27.0,188.0,86.0,0.42700000000000005,65.0,BOS
266,1950.0,PG,27.0,188.0,81.0,0.379,68.0,PHW
267,1950.0,G-F,22.0,185.0,81.0,0.396,62.0,SYR
268,1950.0,F-G,25.0,190.0,83.0,0.405,43.0,INO
269,1950.0,G-F,26.0,188.0,79.0,0.40399999999999997,67.0,BOS
270,1950.0,G-F,36.0,185.0,90.0,0.336,23.0,WAT
271,1950.0,C-F,24.0,203.0,100.0,0.395,60.0,NYK
272,1950.0,SG,31.0,185.0,88.0,0.43,61.0,STB
273,1950.0,F-G,27.0,190.0,86.0,0.36700000000000005,59.0,TOT
274,1950.0,F-G,27.0,190.0,86.0,0.198,12.0,AND
275,1950.0,F-G,27.0,190.0,86.0,0.39299999999999996,47.0,WAT
276,1950.0,G-F,29.0,183.0,81.0,0.507,60.0,SHE
277,1950.0,SF,24.0,196.0,92.0,0.406,68.0,CHS
278,1950.0,F,29.0,193.0,90.0,0.182,7.0,BOS
279,1950.0,F,28.0,185.0,83.0,0.45299999999999996,57.0,AND
280,1950.0,F-G,26.0,188.0,83.0,0.344,49.0,TOT
281,1950.0,F-G,26.0,188.0,83.0,0.302,23.0,MNL
282,1950.0,F-G,26.0,188.0,83.0,0.376,26.0,WAT
283,1950.0,F-C,26.0,196.0,99.0,0.39,65.0,TOT
284,1950.0,F-C,26.0,196.0,99.0,0.345,14.0,STB
285,1950.0,F-C,26.0,196.0,99.0,0.39799999999999996,51.0,TRI
286,1950.0,C-F,27.0,198.0,97.0,0.47100000000000003,62.0,DNN
287,1950.0,G-F,29.0,183.0,83.0,0.331,29.0,TOT
288,1950.0,G-F,29.0,183.0,83.0,0.324,8.0,BLB
289,1950.0,G-F,29.0,183.0,83.0,0.33299999999999996,21.0,WAT
290,1950.0,F-C,29.0,193.0,95.0,0.389,68.0,BLB
291,1950.0,G-F,27.0,183.0,77.0,0.17,4.0,BLB
292,1950.0,G-F,27.0,183.0,77.0,0.456,56.0,NYK
293,1950.0,G-F,26.0,190.0,88.0,0.405,35.0,TRI
294,1950.0,F-G,21.0,190.0,88.0,0.466,42.0,NYK
295,1950.0,F-C,28.0,193.0,92.0,0.34,54.0,TOT
296,1950.0,F-C,28.0,193.0,92.0,0.337,17.0,INO
297,1950.0,F-C,28.0,193.0,92.0,0.34,37.0,DNN
298,1950.0,G-F,27.0,193.0,92.0,0.405,59.0,TOT
299,1950.0,G-F,27.0,193.0,92.0,0.4,26.0,TRI
300,1950.0,G-F,27.0,193.0,92.0,0.40700000000000003,33.0,BLB
301,1950.0,C-F,30.0,198.0,95.0,0.32,63.0,FTW
302,1950.0,G,27.0,183.0,77.0,0.49700000000000005,11.0,SHE
303,1950.0,PF,28.0,198.0,92.0,0.401,68.0,BOS
304,1950.0,SG,22.0,188.0,72.0,0.431,53.0,TOT
305,1950.0,SG,22.0,188.0,72.0,0.42,22.0,MNL
306,1950.0,SG,22.0,188.0,72.0,0.434,31.0,INO
307,1950.0,G,28.0,183.0,77.0,0.515,67.0,ROC
308,1950.0,G,23.0,175.0,70.0,0.38799999999999996,56.0,TRI
309,1950.0,G,26.0,175.0,70.0,0.42100000000000004,37.0,STB
310,1950.0,G,28.0,175.0,70.0,0.242,6.0,SHE
311,1950.0,SG,24.0,188.0,77.0,0.429,68.0,CHS
312,,,,,,,,
313,1951.0,SF,22.0,193.0,86.0,0.512,65.0,PHW
314,1951.0,G-F,32.0,180.0,77.0,0.37200000000000005,38.0,FTW
315,1951.0,SG,30.0,188.0,83.0,0.322,56.0,INO
316,1951.0,SF,26.0,193.0,86.0,0.377,68.0,INO
317,1951.0,F,25.0,196.0,88.0,0.307,17.0,WSC
318,1951.0,F,22.0,190.0,90.0,0.262,12.0,TOT
319,1951.0,F,22.0,190.0,90.0,0.282,11.0,MNL
320,1951.0,F,22.0,190.0,90.0,0.0,1.0,TRI
321,1951.0,G,23.0,178.0,79.0,0.435,66.0,INO
322,1951.0,G,24.0,188.0,72.0,0.225,2.0,INO
323,1951.0,PG,26.0,183.0,77.0,0.384,53.0,PHW
324,1951.0,C-F,26.0,203.0,99.0,0.391,24.0,PHW
325,1951.0,SF,23.0,196.0,95.0,0.485,66.0,NYK
326,1951.0,C,28.0,208.0,102.0,0.429,48.0,TOT
327,1951.0,C,28.0,208.0,102.0,0.436,32.0,BOS
328,1951.0,C,28.0,208.0,102.0,0.419,16.0,TRI
329,1951.0,G,27.0,185.0,81.0,0.424,68.0,TRI
330,1951.0,PF,25.0,196.0,99.0,0.441,64.0,BLB
331,1951.0,SF,26.0,196.0,99.0,0.299,33.0,FTW
332,1951.0,F-G,27.0,190.0,79.0,0.35700000000000004,47.0,TOT
333,1951.0,F-G,27.0,190.0,79.0,0.401,16.0,BLB
334,1951.0,F-G,27.0,190.0,79.0,0.26,12.0,WSC
335,1951.0,F-G,27.0,190.0,79.0,0.379,19.0,TRI
336,1951.0,SG,25.0,185.0,79.0,0.426,46.0,SYR
337,1951.0,SG,23.0,190.0,81.0,0.42100000000000004,66.0,ROC
338,1951.0,G-F,31.0,183.0,77.0,0.396,9.0,BLB
339,1951.0,F-C,33.0,196.0,90.0,0.413,56.0,TOT
340,1951.0,F-C,33.0,196.0,90.0,0.33799999999999997,21.0,FTW
341,1951.0,F-C,33.0,196.0,90.0,0.45899999999999996,35.0,TRI
342,1951.0,PG,33.0,180.0,77.0,0.509,53.0,SYR
343,1951.0,F,25.0,188.0,86.0,0.20199999999999999,14.0,SYR
344,1951.0,SF,23.0,196.0,95.0,0.401,67.0,TRI
345,1951.0,PF,28.0,198.0,99.0,0.364,65.0,NYK
346,1951.0,SF,29.0,196.0,88.0,0.391,65.0,PHW
347,1951.0,PF,26.0,201.0,88.0,0.46299999999999997,67.0,ROC
348,1951.0,F,24.0,196.0,95.0,0.428,66.0,BOS
349,1951.0,G,23.0,183.0,81.0,0.34600000000000003,34.0,TOT
350,1951.0,G,23.0,183.0,81.0,0.306,16.0,BLB
351,1951.0,G,23.0,183.0,81.0,0.37799999999999995,18.0,TRI
352,1951.0,PG,22.0,185.0,79.0,0.415,69.0,BOS
353,1951.0,PG,31.0,185.0,79.0,0.457,63.0,ROC
354,1951.0,C-F,28.0,198.0,97.0,0.303,5.0,TRI
355,1951.0,G,23.0,183.0,79.0,0.386,13.0,BLB
356,1951.0,SG,24.0,188.0,86.0,0.522,68.0,BOS
357,1951.0,F-C,28.0,198.0,88.0,0.292,14.0,BOS
358,1951.0,SF,28.0,190.0,85.0,0.408,68.0,TRI
359,1951.0,C,28.0,203.0,104.0,0.34700000000000003,3.0,NYK
360,1951.0,F-G,25.0,188.0,81.0,0.395,68.0,MNL
361,1951.0,C,22.0,206.0,97.0,0.409,68.0,FTW
362,1951.0,PF,29.0,196.0,86.0,0.39799999999999996,66.0,PHW
363,1951.0,SG,28.0,180.0,77.0,0.405,61.0,SYR
364,1951.0,F-C,23.0,198.0,95.0,0.491,66.0,NYK
365,1951.0,SG,25.0,196.0,90.0,0.384,61.0,PHW
366,1951.0,G-F,23.0,193.0,95.0,0.495,15.0,TRI
367,1951.0,F-C,28.0,193.0,102.0,0.34,16.0,WSC
368,1951.0,F,23.0,190.0,88.0,0.358,61.0,MNL
369,1951.0,C,24.0,201.0,98.0,0.552,66.0,INO
370,1951.0,C,31.0,206.0,102.0,0.44799999999999995,68.0,TOT
371,1951.0,G-F,32.0,185.0,77.0,0.324,26.0,INO
372,1951.0,PF,27.0,201.0,95.0,0.406,63.0,SYR
373,1951.0,G-F,30.0,188.0,81.0,0.423,29.0,TOT
374,1951.0,G-F,30.0,188.0,81.0,0.43799999999999994,14.0,FTW
375,1951.0,G-F,30.0,188.0,81.0,0.406,15.0,TRI
376,1951.0,F-C,23.0,201.0,88.0,0.402,56.0,TOT
377,1951.0,F-C,23.0,201.0,88.0,0.312,12.0,FTW
378,1951.0,F-C,23.0,201.0,88.0,0.423,44.0,BOS
379,1951.0,G,23.0,201.0,88.0,0.41100000000000003,68.0,MNL
380,1951.0,G,29.0,180.0,81.0,0.354,31.0,BLB
381,1951.0,C-F,27.0,206.0,102.0,0.35600000000000004,71.0,TOT
382,1951.0,G,28.0,178.0,79.0,0.41200000000000003,65.0,BOS
383,1951.0,G-F,25.0,188.0,88.0,0.384,41.0,BLB
384,1951.0,SF,25.0,193.0,83.0,0.359,67.0,INO
385,1951.0,PG,30.0,178.0,79.0,0.38799999999999996,68.0,ROC
386,1951.0,SG,22.0,185.0,77.0,0.369,60.0,MNL
387,1951.0,F,25.0,193.0,81.0,0.379,48.0,TOT
388,1951.0,F,25.0,193.0,81.0,0.387,6.0,NYK
389,1951.0,F,25.0,193.0,81.0,0.379,42.0,BLB
390,1951.0,F-G,30.0,190.0,83.0,0.363,63.0,MNL
391,1951.0,SF,30.0,196.0,107.0,0.564,68.0,ROC
392,1951.0,PG,29.0,180.0,77.0,0.361,68.0,FTW
393,1951.0,PF,24.0,180.0,77.0,0.456,22.0,INO
394,1951.0,C,25.0,206.0,103.0,0.43799999999999994,63.0,TOT
